dataset,abbreviation,seed,MLP,FCN,ResNet,DTW_I,TSF,TapNet,TimesNet,ConvTran,KATN,RPM-CNN,SRPM-CNN,ROCKET,MiniRocket,MultiRocket,Hydra,AIM-TSformer
ArticularyWordRecognition,AWR,42,0.946667,0.986667,0.953333,0.976667,0.963333,0.770000,0.980000,0.976667,0.980000,0.950000,0.680000,0.993333,0.993333,0.993333,0.993333,0.993333
BasicMotions,BM,42,0.875000,1.000000,1.000000,1.000000,1.000000,1.000000,0.975000,1.000000,1.000000,1.000000,0.975000,1.000000,1.000000,1.000000,1.000000,1.000000
Epilepsy,EP,42,0.687202,0.977941,0.977941,0.949722,0.925702,0.977941,0.870032,0.978537,0.964428,0.963235,0.801312,0.985294,1.000000,1.000000,1.000000,1.000000
ERing,ER,42,0.918519,0.888889,0.862963,0.877778,0.918519,0.714815,0.929630,0.722222,0.933333,0.918519,0.648148,0.981481,0.981481,0.996296,0.985185,0.951852
FaceDetection,FD,42,0.647560,0.528093,0.554767,N/A,0.560159,0.565834,0.660329,0.646425,0.661180,0.659478,0.499716,0.596481,0.593076,0.605846,0.527809,0.658627
FingerMovements,FM,42,0.510804,0.588836,0.565626,0.518607,0.551220,0.491997,0.512405,0.600640,0.502201,0.482193,0.548419,0.572029,0.570428,0.601040,0.563025,0.729292
Handwriting,HW,42,0.279932,0.428147,0.525957,0.497232,0.347304,0.320870,0.324742,0.200186,0.416300,0.289485,0.143428,0.578205,0.510733,0.509330,0.479960,0.384767
Libras,LIB,42,0.755556,0.927778,0.883333,0.900000,0.855556,0.750000,0.788889,0.783333,0.838889,0.783333,0.522222,0.905556,0.938889,0.933333,0.950000,0.911111
LSST,LSST,42,0.363823,0.278099,0.246893,0.444472,0.431933,0.403387,0.388242,0.132487,0.433611,0.164911,0.132881,0.384192,0.469755,0.448674,0.399146,0.388589
NATOPS,NA,42,0.838889,0.922222,0.916667,0.838889,0.933333,0.916667,0.866667,0.933333,0.955556,0.827778,0.700000,0.877778,0.944444,0.916667,0.861111,0.938889
PEMS-SF,PEMS,42,0.742858,0.802691,0.776182,0.668911,0.871007,0.704437,0.824808,0.688142,0.725444,0.772066,0.690548,0.843824,0.806924,0.819911,0.786227,0.912372
PenDigits,PD,42,0.964501,0.988227,0.987041,0.939488,0.958917,0.974805,0.974114,0.695236,0.980895,N/A,N/A,0.980713,N/A,N/A,0.971640,0.993700
PhonemeSpectra,PM,42,0.088884,0.270287,0.310814,0.151257,0.158732,0.244337,0.148220,0.081395,0.200758,0.166116,0.133610,0.273244,0.311414,0.326616,0.331071,0.225473
RacketSports,RS,42,0.791604,0.871135,0.898547,0.848547,0.900872,0.792733,0.860610,0.818605,0.903924,N/A,0.651032,0.915552,0.925851,0.908430,0.909302,0.908866
DuckDuckGeese,DDG,42,0.460000,0.620000,0.600000,0.480000,0.540000,0.480000,0.460000,0.640000,0.620000,0.260000,0.220000,0.540000,0.600000,0.520000,0.540000,0.660000
UWaveGestureLibrary,UWG,42,0.759375,0.868750,0.793750,0.856250,0.859375,0.593750,0.843750,0.878125,0.884375,0.865625,0.437500,0.931250,0.931250,0.937500,0.903125,0.912500
AtrialFibrillation,AF,42,0.200000,0.200000,0.066667,0.266667,0.466667,0.266667,0.333333,0.400000,0.333333,0.200000,0.266667,0.066667,0.133333,0.066667,0.066667,0.533333
Cricket,CR,42,0.861111,0.986111,0.986111,0.986111,0.930556,0.625000,0.875000,0.944444,0.972222,0.930556,0.763889,1.000000,0.986111,0.986111,0.986111,1.000000
EthanolConcentration,EC,42,0.314394,0.296503,0.271096,0.307925,0.422494,0.261364,0.300874,0.284790,0.315793,0.257051,0.261597,0.419114,0.426632,0.548601,0.510198,0.578846
HandMovementDirection,HMD,42,0.453571,0.227381,0.291667,0.283333,0.519048,0.403571,0.567857,0.327381,0.592857,0.739286,0.273810,0.522619,0.335714,0.335714,0.270238,0.446429
Heartbeat,HB,42,0.608464,0.591275,0.530583,0.532895,0.616643,0.605085,0.642959,0.595128,0.696894,0.563419,0.590386,0.661214,0.687470,0.651731,0.680121,0.717876
SelfRegulationSCP1,SRS1,42,0.853625,0.833100,0.853555,0.765073,0.829513,0.723744,0.894278,0.901244,0.887592,0.870143,0.541212,0.853112,0.921606,0.952334,0.877481,0.856304
SelfRegulationSCP2,SRS2,42,0.472222,0.527778,0.505556,0.527778,0.444444,0.577778,0.444444,0.527778,0.472222,0.566667,0.511111,0.538889,0.511111,0.555556,0.566667,0.611111
StandWalkJump,SWJ,42,0.400000,0.333333,0.333333,0.400000,0.466667,0.133333,0.466667,0.266667,0.333333,0.466667,0.333333,0.466667,0.466667,0.666667,0.466667,0.733333
