dataset,abbreviation,seed,MLP,FCN,ResNet,DTW_I,TSF,TapNet,TimesNet,ConvTran,KATN,RPM-CNN,SRPM-CNN,ROCKET,MiniRocket,MultiRocket,Hydra,AIM-TSformer
ArticularyWordRecognition,AWR,46,0.980000,0.986667,0.983333,0.976667,0.966667,0.723333,0.980000,0.966667,0.980000,0.966667,0.643333,0.993333,0.990000,0.993333,0.980000,0.993333
BasicMotions,BM,46,0.825000,1.000000,0.975000,1.000000,1.000000,0.950000,1.000000,1.000000,1.000000,1.000000,0.950000,1.000000,1.000000,1.000000,1.000000,1
Epilepsy,EP,46,0.652174,0.963768,0.956522,0.949275,0.934783,0.992754,0.884058,0.971014,0.963768,0.956522,0.804348,0.985507,1.000000,1.000000,1.000000,1
ERing,ER,46,0.903704,0.855556,0.862963,0.877778,0.922222,0.655556,0.900000,0.785185,0.948148,0.944444,0.662963,0.988889,0.981481,0.992593,0.981481,0.948148
FaceDetection,FD,46,0.633939,0.545970,0.550795,N/A,0.560726,0.555619,0.673383,0.634222,0.663167,0.662316,0.517026,0.614926,0.588820,0.605562,0.551362,0.637344
FingerMovements,FM,46,0.480000,0.590000,0.580000,0.520000,0.540000,0.490000,0.490000,0.610000,0.540000,0.470000,0.510000,0.490000,0.600000,0.600000,0.570000,0.7
Handwriting,HW,46,0.270588,0.452941,0.503529,0.504706,0.335294,0.343529,0.348235,0.228235,0.430588,0.270588,0.141176,0.584706,0.497647,0.507059,0.460000,0.38
Libras,LIB,46,0.772222,0.916667,0.855556,0.900000,0.838889,0.694444,0.733333,0.794444,0.861111,0.788889,0.483333,0.900000,0.938889,0.927778,0.950000,0.916667
LSST,LSST,46,0.530008,0.446472,0.183293,0.544607,0.627737,0.557989,0.548662,0.339011,0.435118,0.375507,0.375101,0.642336,0.634225,0.627737,0.598135,0.635442
NATOPS,NA,46,0.872222,0.950000,0.938889,0.838889,0.900000,0.872222,0.888889,0.944444,0.922222,0.811111,0.722222,0.888889,0.905556,0.938889,0.866667,0.944444
PEMS-SF,PEMS,46,0.739884,0.774566,0.763006,0.670520,0.872832,0.786127,0.838150,0.728324,0.763006,0.751445,0.647399,0.832370,0.838150,0.838150,0.786127,0.901734
PenDigits,PD,46,0.961121,0.983133,0.970269,0.939680,0.956261,0.979131,0.983133,0.562607,0.986564,N/A,N/A,0.978845,N/A,N/A,0.964551,0.994282
PhonemeSpectra,PM,46,0.088577,0.251118,0.311959,0.151208,0.152401,0.248434,0.153892,0.073964,0.194154,0.176857,0.136594,0.280942,0.314644,0.329556,0.340889,0.227557
RacketSports,RS,46,0.750000,0.881579,0.907895,0.835526,0.894737,0.809211,0.842105,0.789474,0.888158,N/A,0.644737,0.901316,0.868421,0.861842,0.907895,0.901316
DuckDuckGeese,DDG,46,0.420000,0.540000,0.620000,0.480000,0.600000,0.520000,0.420000,0.640000,0.640000,0.200000,0.260000,0.480000,0.580000,0.540000,0.520000,0.64
UWaveGestureLibrary,UWG,46,0.843750,0.856250,0.831250,0.856250,0.853125,0.468750,0.875000,0.871875,0.903125,0.875000,0.415625,0.931250,0.943750,0.943750,0.893750,0.9125
AtrialFibrillation,AF,46,0.200000,0.200000,0.133333,0.266667,0.466667,0.266667,0.200000,0.266667,0.333333,0.200000,0.266667,0.066667,0.133333,0.066667,0.066667,0.466667
Cricket,CR,46,0.750000,0.986111,0.944444,0.986111,0.930556,0.666667,0.944444,0.972222,0.958333,0.930556,0.791667,1.000000,0.986111,0.986111,0.986111,1
EthanolConcentration,EC,46,0.285171,0.349810,0.330798,0.307985,0.441065,0.285171,0.250951,0.304183,0.269962,0.269962,0.281369,0.437262,0.463878,0.562738,0.517110,0.577947
HandMovementDirection,HMD,46,0.540541,0.351351,0.283784,0.283784,0.391892,0.297297,0.581081,0.459459,0.621622,0.716216,0.175676,0.513514,0.378378,0.337838,0.256757,0.486486
Heartbeat,HB,46,0.653659,0.531707,0.624390,0.629268,0.717073,0.717073,0.682927,0.780488,0.765854,0.741463,0.751220,0.736585,0.746341,0.736585,0.765854,0.77561
SelfRegulationSCP1,SRS1,46,0.747440,0.754266,0.839590,0.764505,0.846416,0.522184,0.860068,0.890785,0.873720,0.839590,0.563140,0.843003,0.918089,0.952218,0.887372,0.863481
SelfRegulationSCP2,SRS2,46,0.455556,0.477778,0.527778,0.527778,0.483333,0.533333,0.483333,0.466667,0.455556,0.544444,0.494444,0.533333,0.472222,0.566667,0.527778,0.633333
StandWalkJump,SWJ,46,0.533333,0.266667,0.400000,0.400000,0.400000,0.333333,0.200000,0.266667,0.333333,0.333333,0.333333,0.466667,0.466667,0.666667,0.400000,0.666667
